Type,SKU,Name,Parent,Published,Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Short description,Description,Images,material
variable,impexo-camera-protection,Coque Protection Caméra Renforcée – Série iPhone 17,,1,,Modèle,"iPhone 17, iPhone 17 Air, iPhone 17 Pro, iPhone 17 Pro Max",1,0,Couleur,"Blanc, Noir, Vert, Rose, Bleu, Rouge, Gris, Violet, Argent, Marron",1,0,Référence,"JOJO1015-1, JOJO1015-3, JOJO1015-5, JOJO1015-9, JOJO1015-10, JOJO1015-13, JOJO1015-19",1,0,"Rebord surélevé autour du module caméra. Finesse élégante, prise en main confortable.","Conçue pour protéger efficacement l'appareil au quotidien, cette coque intègre un rebord surélevé autour du module caméra afin de limiter les rayures et les impacts directs. Sa structure absorbe les chocs tout en conservant une finesse élégante et une prise en main confortable. Compatibilité par modèle : iPhone 17 : protection précise du module caméra ; iPhone 17 Air : coque légère adaptée au format affiné ; iPhone 17 Pro : protection renforcée pour module avancé ; iPhone 17 Pro Max : maintien optimal sur grand format. Mention légale : Produit compatible avec les modèles iPhone 17, 17 Air, 17 Pro et 17 Pro Max. La marque Apple® est mentionnée uniquement à titre de compatibilité. IMPEXO est une marque indépendante.",https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
variation,impexo-camera-protection--jojo1015-1--iphone-17--blanc,,impexo-camera-protection,1,14.90,Modèle,iPhone 17,1,0,Couleur,Blanc,1,0,Référence,JOJO1015-1,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
variation,impexo-camera-protection--jojo1015-3--iphone-17--blanc,,impexo-camera-protection,1,17.90,Modèle,iPhone 17,1,0,Couleur,Blanc,1,0,Référence,JOJO1015-3,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-3.JPG,
variation,impexo-camera-protection--jojo1015-5--iphone-17--blanc,,impexo-camera-protection,1,17.90,Modèle,iPhone 17,1,0,Couleur,Blanc,1,0,Référence,JOJO1015-5,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-5.JPG,
variation,impexo-camera-protection--jojo1015-9--iphone-17--blanc,,impexo-camera-protection,1,22.90,Modèle,iPhone 17,1,0,Couleur,Blanc,1,0,Référence,JOJO1015-9,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-9.JPG,
variation,impexo-camera-protection--jojo1015-10--iphone-17--blanc,,impexo-camera-protection,1,22.90,Modèle,iPhone 17,1,0,Couleur,Blanc,1,0,Référence,JOJO1015-10,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-10.JPG,
variation,impexo-camera-protection--jojo1015-13--iphone-17--blanc,,impexo-camera-protection,1,24.90,Modèle,iPhone 17,1,0,Couleur,Blanc,1,0,Référence,JOJO1015-13,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-13.JPG,
variation,impexo-camera-protection--jojo1015-19--iphone-17--blanc,,impexo-camera-protection,1,26.90,Modèle,iPhone 17,1,0,Couleur,Blanc,1,0,Référence,JOJO1015-19,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-19.JPG,
variation,impexo-camera-protection--jojo1015-1--iphone-17--noir,,impexo-camera-protection,1,14.90,Modèle,iPhone 17,1,0,Couleur,Noir,1,0,Référence,JOJO1015-1,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
variation,impexo-camera-protection--jojo1015-3--iphone-17--noir,,impexo-camera-protection,1,17.90,Modèle,iPhone 17,1,0,Couleur,Noir,1,0,Référence,JOJO1015-3,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-3.JPG,
