Type,SKU,Name,Parent,Published,Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Short description,Description,Images,material
variable,impexo-camera-protection,Coque Protection Caméra Renforcée – Série iPhone 17,,1,,Modèle,"iPhone 17, iPhone 17 Air, iPhone 17 Pro, iPhone 17 Pro Max",1,0,Couleur,"Blanc, Noir, Vert, Rose, Bleu, Rouge, Gris, Violet, Argent, Marron",1,0,"Rebord surélevé autour du module caméra. Finesse élégante, prise en main confortable.","Conçue pour protéger efficacement l'appareil au quotidien, cette coque intègre un rebord surélevé autour du module caméra afin de limiter les rayures et les impacts directs. Sa structure absorbe les chocs tout en conservant une finesse élégante et une prise en main confortable. Compatibilité par modèle : iPhone 17 : protection précise du module caméra ; iPhone 17 Air : coque légère adaptée au format affiné ; iPhone 17 Pro : protection renforcée pour module avancé ; iPhone 17 Pro Max : maintien optimal sur grand format. Mention légale : Produit compatible avec les modèles iPhone 17, 17 Air, 17 Pro et 17 Pro Max. La marque Apple® est mentionnée uniquement à titre de compatibilité. IMPEXO est une marque indépendante.",https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
variation,impexo-camera-protection--iphone-17--blanc,,impexo-camera-protection,1,14.90,Modèle,iPhone 17,1,0,Couleur,Blanc,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
variation,impexo-camera-protection--iphone-17--noir,,impexo-camera-protection,1,14.90,Modèle,iPhone 17,1,0,Couleur,Noir,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
variation,impexo-camera-protection--iphone-17--vert,,impexo-camera-protection,1,14.90,Modèle,iPhone 17,1,0,Couleur,Vert,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
variation,impexo-camera-protection--iphone-17--rose,,impexo-camera-protection,1,14.90,Modèle,iPhone 17,1,0,Couleur,Rose,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
variation,impexo-camera-protection--iphone-17--bleu,,impexo-camera-protection,1,14.90,Modèle,iPhone 17,1,0,Couleur,Bleu,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
variation,impexo-camera-protection--iphone-17--rouge,,impexo-camera-protection,1,14.90,Modèle,iPhone 17,1,0,Couleur,Rouge,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
variation,impexo-camera-protection--iphone-17--gris,,impexo-camera-protection,1,14.90,Modèle,iPhone 17,1,0,Couleur,Gris,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
variation,impexo-camera-protection--iphone-17--violet,,impexo-camera-protection,1,14.90,Modèle,iPhone 17,1,0,Couleur,Violet,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
variation,impexo-camera-protection--iphone-17--argent,,impexo-camera-protection,1,14.90,Modèle,iPhone 17,1,0,Couleur,Argent,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
